Torneo;Fase y Grupo;Fecha;Estadio/Ciudad;Local;Goles L;Visita;Goles V;Observaciones;Resultado
Uruguay 1930;Primera, Grupo A;13 de julio de 1930;Pocitos, Montevideo;Francia;4;MÇxico;1;PT 3 a 0;Local
Uruguay 1930;Primera, Grupo D;13 de julio de 1930;Parque Central, Montevideo;Estados Unidos;3;BÇlgica;0;PT 2 a 0;Local
Uruguay 1930;Primera, Grupo B;14 de julio de 1930;Parque Central, Montevideo;Yugoslavia;2;Brasil;1;PT 2 a 0;Local
Uruguay 1930;Primera, Grupo C;14 de julio de 1930;Pocitos, Montevideo;Rumania;3;Per£;1;PT 1 a 0;Local
Uruguay 1930;Primera, Grupo A;15 de julio de 1930;Parque Central, Montevideo;Argentina;1;Francia;0;PT 0 a 0;Local
Uruguay 1930;Primera, Grupo A;16 de julio de 1930;Parque Central, Montevideo;Chile;3;MÇxico;0;PT 1 a 0;Local
Uruguay 1930;Primera, Grupo B;17 de julio de 1930;Parque Central, Montevideo;Yugoslavia;4;Bolivia;0;PT 0 a 0;Local
Uruguay 1930;Primera, Grupo D;17 de julio de 1930;Parque Central, Montevideo;Estados Unidos;3;Paraguay;0;PT 2 a 0;Local
Uruguay 1930;Primera, Grupo C;18 de julio de 1930;Centenario, Montevideo;Uruguay;1;Per£;0;PT 0 a 0;Local
Uruguay 1930;Primera, Grupo A;19 de julio de 1930;Centenario, Montevideo;Chile;1;Francia;0;PT 0 a 0;Local
Uruguay 1930;Primera, Grupo A;19 de julio de 1930;Centenario, Montevideo;Argentina;6;MÇxico;3;PT 3 a 1;Local
Uruguay 1930;Primera, Grupo B;20 de julio de 1930;Centenario, Montevideo;Brasil;4;Bolivia;0;PT 1 a 0;Local
Uruguay 1930;Primera, Grupo D;20 de julio de 1930;Centenario, Montevideo;Paraguay;1;BÇlgica;0;PT 1 a 0;Local
Uruguay 1930;Primera, Grupo C;21 de julio de 1930;Centenario, Montevideo;Uruguay;4;Rumania;0;PT 4 a 0;Local
Uruguay 1930;Primera, Grupo A;22 de julio de 1930;Centenario, Montevideo;Argentina;3;Chile;1;PT 2 a 1;Local
Uruguay 1930;Semifinal 1;26 de julio de 1930;Centenario, Montevideo;Argentina;6;Estados Unidos;1;PT 1 a 0;Local
Uruguay 1930;Semifinal 2;27 de julio de 1930;Centenario, Montevideo;Uruguay;6;Yugoslavia;1;PT 3 a 1;Local
Uruguay 1930;Final;30 de julio de 1930;Centenario, Montevideo;Uruguay;4;Argentina;2;PT 1 a 2;Local
Italia 1934;Ronda Preliminar, partido 1;27 de mayo de 1934;Giorgio Ascarelli, N†poles;Hungr°a;4;Egipto;2;PT 2 a 2.;Local
Italia 1934;Ronda Preliminar, partido 2;27 de mayo de 1934;Luigi Ferraris, GÇnova;Espa§a;3;Brasil;1;PT 3 a 0.;Local
Italia 1934;Ronda Preliminar, partido 3;27 de mayo de 1934;Littorale, Bologna;Suecia;3;Argentina;2;PT 1 a 1.;Local
Italia 1934;Ronda Preliminar, partido 4;27 de mayo de 1934;San Siro, Mil†n;Suiza;3;Pa°ses Bajos;2;PT 2 a 1;Local
Italia 1934;Ronda Preliminar, partido 5;27 de mayo de 1934;Littorio, Triesta;Checoslovaquia;2;Rumania;1;PT 0 a 1.;Local
Italia 1934;Ronda Preliminar, partido 6;27 de mayo de 1934;Giovanni Berta, Florencia;Alemania;5;BÇlgica;2;PT 1 a 2.;Local
Italia 1934;Ronda Preliminar, partido 7;27 de mayo de 1934;Nazionale PNF, Roma;Italia;7;Estados Unidos;1;PT 3 a 0.;Local
Italia 1934;Ronda Preliminar, partido 8;27 de mayo de 1934;Benito Mussolini, Tur°n;Austria;3;Francia;2;PT 1 a 1, ST 2 a 2. Suplementario.;Local
Italia 1934;Cuartos de Final, partido 1;31 de mayo de 1934;Giovanni Berta, Florencia;Italia;1;Espa§a;1;PT 1 a 1, ST 1 a 1. Suplementario.;Empate
Italia 1934;Cuartos de Final, partido 2;31 de mayo de 1934;San Siro, Mil†n;Alemania;2;Suecia;1;PT 0 a 0.;Local
Italia 1934;Cuartos de Final, partido 3;31 de mayo de 1934;Benito Mussolini, Tur°n;Checoslovaquia;3;Suiza;2;PT 1 a 1.;Local
Italia 1934;Cuartos de Final, partido 4;31 de mayo de 1934;Littorale, Bologna;Austria;2;Hungr°a;1;PT 1 a 0.;Local
Italia 1934;Cuartos de Final, partido 1 bis;1 de junio de 1934;Giovanni Berta, Florencia;Italia;1;Espa§a;0;PT 1 a 0.;Local
Italia 1934;Semifinal 1;3 de junio de 1934;Nazionale PNF, Roma;Checoslovaquia;3;Alemania;1;PT 1 a 0.;Local
Italia 1934;Semifinal 2;3 de junio de 1934;San Siro, Mil†n;Italia;1;Austria;0;PT 1 a 0.;Local
Italia 1934;Tercer y Cuarto Puesto;7 de junio de 1934;Giorgio Ascarelli, N†poles;Alemania;3;Austria;2;PT 3 a 1.;Local
Italia 1934;Final;10 de junio de 1934;Nazionale PNF, Roma;Italia;2;Checoslovaquia;1;PT 0 a 0, ST 1 a 1. Suplementario.;Local
Francia 1938;Primera Ronda, partido 1;4 de junio de 1938;Parc des Princes, Paris;Suiza;1;Alemania;1;PT 1 a 1, ST 1 a 1. Suplementario.;Empate
Francia 1938;Primera Ronda, partido 2;5 de junio de 1938;Velodrome, Marsella;Italia;2;Noruega;1;PT 1 a 0, ST 1 a 1. Suplementario.;Local
Francia 1938;Primera Ronda, partido 3;5 de junio de 1938;Velodrome Municipale, Reims;Hungr°a;6;Indias Holandesas;0;PT 4 a 0.;Local
Francia 1938;Primera Ronda, partido 4;5 de junio de 1938;Chapou, Toulouse;Cuba;3;Rumania;3;PT 1 a 1, ST 3 a 3. Suplementario.;Empate
Francia 1938;Primera Ronda, partido 5;5 de junio de 1938;Olympique, Colombes-Par°s;Francia;3;BÇlgica;1;PT 2 a 1.;Local
Francia 1938;Primera Ronda, partido 6;5 de junio de 1938;Meinau, Estrasburgo;Brasil;6;Polonia;5;PT 3 a 1, ST 4 a 4. Suplementario.;Local
Francia 1938;Primera Ronda, partido 7;5 de junio de 1938;Cavee Verte, Le Havre;Checoslovaquia;3;Pa°ses Bajos;0;PT 0 a 0, ST 0 a 0. Suplementario.;Local
Francia 1938;Primera Ronda, partido 1 bis;9 de junio de 1938;Parc des Princes, Paris;Suiza;4;Alemania;2;PT 1 a 2.;Local
Francia 1938;Primera Ronda, partido 4 bis;9 de junio de 1938;Chapou, Toulouse;Cuba;2;Rumania;1;PT 0 a 1.;Local
